"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-4fc1b604de00eb01c32e5804","FD_G1","H","H","H","True","False","46.7161615488237","37","53.2838384511763"
"FAI-4c39d9514f290ba5190d420b","FD_G1","A","A","A","True","False","56.1060218501156","68","43.8939781498844"
"FAI-8256f6409eca432d367182bf","FD_G1","A","A","A","True","False","37.7245463532172","6","62.2754536467828"
"FAI-391bceaec88df488dbbd4328","FD_G1","D","H","H","False","True","52.2462191313489","54","47.7537808686511"
"FAI-54ca833967a85573f97d4bee","FD_G1","D","A","H","False","True","40.1355352632704","15","67.4104359572745"
"FAI-a10218517ebdf1cdeca7f8c5","FD_G1","D","H","H","False","True","47.492914983941","38","52.507085016059"
"FAI-53fb807ad7cd61bc035d0fd5","FD_G1","A","H","H","False","True","40.4750236508347","8","59.5249763491653"
"FAI-65f126532f3f5a1e05f801f9","FD_G1","A","A","H","True","True","36.4671658582499","1","64.0919558613503"
"FAI-b1252faa4ada345d24556f0a","FD_G1","H","H","H","True","False","70.2597011324044","100","29.7402988675956"
"FAI-9a1c5dd27bb37cf96611d69e","FD_G1","H","H","H","True","False","57.5740131485316","70","42.4259868514684"
"FAI-5f751e0d23a5aa7c8591f6a8","FD_G1","H","H","H","True","False","40.1956103021042","14","59.8043896978958"
"FAI-1b8ee62d3af8792263336d4d","FD_G1","A","A","A","True","False","43.822258772075","28","56.177741227925"
"FAI-2c35f923725cc8a005bf7121","FD_G1","A","H","A","False","False","43.6794826576145","30","72.2830796039747"
"FAI-04e6d0f2a1d3bc8db5310b44","FD_G1","H","H","H","True","False","42.6182349824951","23","57.3817650175049"
"FAI-014e24c89152a727b9733bfb","FD_G1","A","A","A","True","False","65.5228730905993","93","34.4771269094007"
"FAI-62e7333d48dedc4026094720","FD_G1","A","A","A","True","False","49.8666608406745","49","50.1333391593255"
"FAI-7c902bb3a219998d22bf9ebd","FD_G1","H","H","H","True","False","50.8310937519227","50","49.1689062480773"
"FAI-7cad5a43e97b311251fa79b7","FD_G1","D","A","A","False","True","64.3137009320369","90","35.6862990679631"
"FAI-af19cea4c6505a3043bf3812","FD_G1","D","A","A","False","True","55.653493497355","64","44.346506502645"
"FAI-263fad4fe7da63ee9d36ba52","FD_G1","H","H","H","True","False","44.8244660008574","25","55.1755339991426"
"FAI-21903a340a967ddcce90739a","FD_G1","D","A","H","False","True","46.2045229510894","36","71.6648184218181"
"FAI-5803401660b27ab649bf2a3b","FD_G1","A","H","H","False","True","45.0588731270203","32","54.9411268729797"
"FAI-f98bee626d76e64bb574a00f","FD_G1","H","H","H","True","False","44.8210312596141","32","55.1789687403859"
"FAI-04ebea07e00220c93c5e0024","FD_G1","H","H","H","True","False","52.031426934215","52","47.968573065785"
"FAI-f0c264942aa74c1a3d061445","FD_G1","H","H","H","True","False","81.5516565940085","100","18.4483434059915"
"FAI-971a1a624533ac344c74052a","FD_G1","H","A","A","False","True","43.7994429646501","23","56.2005570353499"
"FAI-37438d45b5c80ee8165f0f2f","FD_G1","A","H","H","False","True","59.7977101468898","75","40.2022898531102"
"FAI-1d9755addae9fcb622e156c8","FD_G1","A","H","H","False","True","49.2317588424601","44","50.7682411575399"
"FAI-991d1dfad82c6f869fd1e5cc","FD_G1","D","A","H","False","True","42.662629562914","21","67.662223731216"
"FAI-bea980e1f7db748ceca57a7e","FD_G1","A","H","H","False","True","45.8257580824583","37","54.1742419175417"
"FAI-9cd4853ed9471b26cc7db8c1","FD_G1","H","H","H","True","False","41.2129172073372","18","58.7870827926628"
"FAI-407eddc6182ed42e1033e7e7","FD_G1","H","A","H","False","False","38.2065830231402","2","62.8215300321435"
"FAI-4f775f57da4648cd96de7668","FD_G1","A","A","A","True","False","55.2606890616405","65","44.7393109383595"
"FAI-dee4195bd87dd64de68ce8af","FD_G1","H","H","A","True","True","42.3302664106908","16","65.8418465385363"
"FAI-dba9c757697da00d78aa6f20","FD_G1","H","H","H","True","False","41.323151543629","15","58.676848456371"
"FAI-4109bc83e3f77aacee634de2","FD_G1","H","H","H","True","False","77.1965659290455","100","22.8034340709545"
"FAI-13a715a009963c9ac9329e7d","FD_G1","A","A","A","True","False","44.9754598459317","30","55.0245401540683"
"FAI-41b71348469c3a8f855f2bbb","FD_G1","D","A","A","False","True","40.4706058140523","10","59.5293941859477"
"FAI-9709384f3d36ddfc33089d1a","FD_G1","H","H","H","True","False","51.0875674954493","51","48.9124325045507"
"FAI-505d24954e72d6a4413fe8f5","FD_G1","A","A","A","True","False","37.936590539433","4","62.063409460567"
"FAI-a19399ede3ef1242011ac813","FD_G1","A","H","H","False","True","55.1394648860127","64","44.8605351139873"
"FAI-25ba8198edfcbb426bf0be9f","FD_G1","D","H","A","False","True","43.6794826576145","30","72.2830796039747"
"FAI-df9734381a8862d7fa4d4e0a","FD_G1","H","H","H","True","False","51.2971761520357","53","48.7028238479643"
"FAI-c4df1e8fff1dbc17274b4333","FD_G1","A","H","H","False","True","76.204231940765","100","23.795768059235"
"FAI-b6c1760697647c69568e9655","FD_G1","D","H","H","False","True","38.9230352835866","13","61.0769647164134"
"FAI-1069f0f41db351fec958b15f","FD_G1","A","H","A","False","False","44.7349331093096","32","71.4176845737171"
"FAI-a3ec41777910373d14f4e7af","FD_G1","D","H","H","False","True","76.0133546790894","100","23.9866453209106"
"FAI-c608d3bef44bfab7c27d5664","FD_G1","A","A","H","True","True","41.2227006108904","22","70.0026755354051"
"FAI-dc2842e01b437b90a963d641","FD_G1","H","H","H","True","False","47.7805930457674","42","52.2194069542326"
