match_id,home_recent_games,home_recent_goals,home_recent_conceded,home_recent_wins,home_recent_draws,home_recent_losses,away_recent_games,away_recent_goals,away_recent_conceded,away_recent_wins,away_recent_draws,away_recent_losses
2014-06-17_Russia_Korea Republic,8,12,11,4,1,3,4,6,8,1,1,2
2014-06-18_Australia_Netherlands,8,9,15,2,2,4,10,17,12,6,0,4
2014-06-18_Spain_Chile,10,16,6,7,2,1,5,6,6,3,0,2
2014-06-18_Cameroon_Croatia,4,2,6,0,0,4,10,12,10,4,4,2
2014-06-19_Colombia_Ivory Coast,1,3,0,1,0,0,7,11,10,3,1,3
2014-06-19_Uruguay_England,8,12,11,3,2,3,10,9,10,3,5,2
2014-06-19_Japan_Greece,8,7,11,2,2,4,10,8,18,2,1,7
2014-06-20_Honduras_Ecuador,4,0,6,0,1,3,5,6,6,2,0,3
2014-06-20_Switzerland_France,10,8,7,4,2,4,10,8,15,2,2,6
2014-06-20_Argentina_Iran,10,21,9,7,2,1,4,2,6,0,2,2
2014-06-21_Germany_Ghana,10,25,10,8,0,2,10,10,12,4,2,4
2014-06-21_Nigeria_Bosnia and Herzegovina,4,3,5,0,2,2,1,1,2,0,0,1
2014-06-21_Belgium_Russia,1,2,1,1,0,0,9,13,12,4,2,3
2014-06-22_Korea Republic_Algeria,5,7,9,1,2,2,4,1,4,0,1,3
2014-06-22_USA_Portugal,8,9,12,2,3,3,10,13,9,4,3,3
2014-06-23_Australia_Spain,9,11,18,2,2,5,10,15,8,6,2,2
2014-06-23_Netherlands_Chile,10,19,14,6,0,4,6,8,6,4,0,2
2014-06-23_Cameroon_Brazil,5,2,10,0,0,5,10,19,7,6,2,2
2014-06-23_Croatia_Mexico,10,16,10,5,3,2,10,10,10,3,3,4
2014-06-24_Italy_Uruguay,10,12,13,3,5,2,9,14,12,4,2,3
2014-06-24_Costa Rica_England,4,6,10,1,0,3,10,10,12,3,4,3
2014-06-24_Japan_Colombia,9,7,11,2,3,4,2,5,1,2,0,0
2014-06-24_Greece_Ivory Coast,10,8,17,2,2,6,8,12,12,3,1,4
2014-06-25_Nigeria_Argentina,5,4,5,1,2,2,10,16,9,7,2,1
2014-06-25_Bosnia and Herzegovina_Iran,2,1,3,0,0,2,5,2,7,0,2,3
2014-06-25_Honduras_Switzerland,5,1,8,0,1,4,10,8,12,3,2,5
2014-06-25_Ecuador_France,6,8,7,3,0,3,10,12,13,3,2,5
2014-06-26_USA_Germany,9,11,14,2,4,3,10,23,11,7,1,2
2014-06-26_Portugal_Ghana,10,15,11,4,3,3,10,12,12,4,3,3
2014-06-26_Korea Republic_Belgium,6,9,13,1,2,3,2,3,1,2,0,0
2014-06-26_Algeria_Russia,5,5,6,1,1,3,10,13,13,4,2,4
2014-06-28_Brazil_Chile,10,19,7,6,2,2,7,8,8,4,0,3
2014-06-28_Colombia_Uruguay,3,9,2,3,0,0,10,15,12,5,2,3
2014-06-29_Netherlands_Mexico,10,19,13,6,0,4,10,10,10,3,3,4
2014-06-29_Costa Rica_Greece,5,6,10,1,1,3,10,9,16,3,2,5
2014-06-30_France_Nigeria,10,12,11,3,3,4,6,6,8,1,2,3
2014-06-30_Germany_Algeria,10,20,11,7,1,2,6,6,7,1,2,3
2014-07-01_Argentina_Switzerland,10,19,11,8,1,1,10,9,12,3,2,5
2014-07-01_Belgium_USA,3,4,1,3,0,0,10,11,15,2,4,4
2014-07-04_Brazil_Colombia,10,17,8,5,3,2,4,11,2,4,0,0
2014-07-04_France_Germany,10,14,11,4,2,4,10,22,11,8,1,1
2014-07-05_Netherlands_Costa Rica,10,19,13,6,0,4,6,7,11,1,2,3
2014-07-05_Argentina_Belgium,10,18,10,8,1,1,4,6,2,4,0,0
2014-07-08_Brazil_Germany,10,19,8,6,3,1,10,20,9,8,1,1
2014-07-09_Netherlands_Argentina,10,17,12,5,1,4,10,18,9,9,0,1
2014-07-12_Brazil_Netherlands,10,18,14,5,3,2,10,14,10,4,2,4
2014-07-13_Germany_Argentina,10,26,10,8,1,1,10,17,9,8,1,1
2015-01-09_Australia_Kuwait,10,11,21,2,2,6,0,0,0,0,0,0
2015-01-09_South Korea_Oman,3,3,4,1,1,1,0,0,0,0,0,0
2015-01-10_Uzbekistan_North Korea,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10_Saudi Arabia_China,3,2,7,0,1,2,0,0,0,0,0,0
2015-01-11_Iran_Bahrain,6,3,10,0,2,4,0,0,0,0,0,0
2015-01-11_Qatar_United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12_Japan_Palestine,10,8,15,2,3,5,0,0,0,0,0,0
2015-01-12_Jordan_Iraq,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13_Kuwait_South Korea,1,1,4,0,0,1,4,4,4,2,1,1
2015-01-13_Oman_Australia,1,0,1,0,0,1,10,12,21,2,2,6
2015-01-14_North Korea_Saudi Arabia,1,0,1,0,0,1,4,2,8,0,1,3
2015-01-14_China_Uzbekistan,1,1,0,1,0,0,1,1,0,1,0,0
2015-01-15_Bahrain_Qatar,1,0,2,0,0,1,1,1,4,0,0,1
2015-01-15_United Arab Emirates_Iran,1,4,1,1,0,0,7,5,10,1,2,4
2015-01-16_Palestine_Jordan,1,0,4,0,0,1,1,0,1,0,0,1
2015-01-16_Iraq_Japan,1,1,0,1,0,0,10,11,12,3,3,4
2015-01-17_Australia_South Korea,10,16,19,3,2,5,5,5,4,3,1,1
2015-01-17_Kuwait_Oman,2,1,5,0,0,2,2,0,5,0,0,2
2015-01-18_Uzbekistan_Saudi Arabia,2,2,2,1,0,1,5,6,9,1,1,3
2015-01-18_China_North Korea,2,3,1,2,0,0,2,1,5,0,0,2
2015-01-19_Iran_United Arab Emirates,8,6,10,2,2,4,2,4,2,1,0,1
2015-01-19_Qatar_Bahrain,2,3,5,1,0,1,2,1,4,0,0,2
2015-01-20_Japan_Iraq,10,12,14,3,2,5,2,3,1,2,0,0
2015-01-20_Jordan_Palestine,2,5,2,1,0,1,2,1,9,0,0,2
2015-01-20_South Korea_Uzbekistan,6,6,4,4,1,1,3,5,3,2,0,1
2015-01-20_China_Australia,3,5,2,3,0,0,10,14,18,3,1,6
2015-01-21_Iran_Iraq,9,7,10,3,2,4,3,3,3,2,0,1
2015-01-21_Japan_United Arab Emirates,10,13,10,4,2,4,3,4,3,1,0,2
2015-01-22_Uzbekistan_South Korea,4,5,3,2,1,1,7,6,4,4,2,1
2015-01-22_Australia_China,10,16,17,4,1,5,4,5,4,3,0,1
2015-01-23_Iraq_Iran,4,4,4,2,1,1,10,8,11,3,3,4
2015-01-23_United Arab Emirates_Japan,4,5,4,1,1,2,10,13,11,3,3,4
2015-01-26_Korea Republic_Iraq,7,9,14,1,2,4,5,5,5,2,2,1
2015-01-27_Australia_United Arab Emirates,10,18,13,5,1,4,5,6,5,1,2,2
2015-01-30_Iraq_United Arab Emirates,6,5,7,2,2,2,6,6,7,1,2,3
2015-01-31_Korea Republic_Australia,8,11,14,2,2,4,10,19,12,6,0,4
2015-06-11_Chile_Ecuador,8,9,9,4,1,3,7,8,7,3,1,3
2015-06-12_Mexico_Bolivia,10,11,12,3,2,5,0,0,0,0,0,0
2015-06-13_Uruguay_Jamaica,10,15,14,5,1,4,0,0,0,0,0,0
2015-06-13_Argentina_Paraguay,10,13,9,7,1,2,8,5,4,2,3,3
2015-06-14_Colombia_Venezuela,5,12,4,4,0,1,0,0,0,0,0,0
2015-06-14_Brazil_Peru,10,15,16,4,3,3,0,0,0,0,0,0
2015-06-16_Chile_Mexico,9,11,9,5,1,3,10,10,10,3,3,4
2015-06-17_Ecuador_Bolivia,8,8,9,3,1,4,1,0,0,0,1,0
2015-06-17_Argentina_Uruguay,10,13,11,6,2,2,10,13,14,5,1,4
2015-06-18_Paraguay_Jamaica,9,7,6,2,4,3,1,0,1,0,0,1
2015-06-19_Brazil_Colombia,10,17,17,5,2,3,6,12,5,4,0,2
2015-06-19_Peru_Venezuela,1,1,2,0,0,1,1,1,0,1,0,0
2015-06-20_Mexico_Ecuador,10,12,11,3,4,3,9,10,12,3,1,5
2015-06-21_Chile_Bolivia,10,14,12,5,2,3,2,3,2,1,1,0
2015-06-21_Uruguay_Paraguay,10,12,15,4,1,5,10,8,6,3,4,3
2015-06-22_Jamaica_Argentina,2,0,2,0,0,2,10,11,10,6,2,2
2015-06-23_Colombia_Peru,7,13,5,5,0,2,2,2,2,1,0,1
2015-06-23_Venezuela_Brazil,2,1,1,1,0,1,10,14,18,4,2,4
2015-06-24_Chile_Uruguay,10,18,12,5,2,3,10,11,15,3,2,5
2015-06-25_Bolivia_Peru,3,3,7,1,1,1,3,2,2,1,1,1
2015-06-26_Argentina_Colombia,10,12,6,7,2,1,8,13,5,5,1,2
2015-06-27_Brazil_Paraguay,10,15,17,5,2,3,10,9,6,3,5,2
2015-06-30_Chile_Peru,10,18,12,5,2,3,4,5,3,2,1,1
2015-07-01_Argentina_Paraguay,10,10,5,6,3,1,10,10,6,3,6,1
2015-07-03_Peru_Paraguay,5,6,5,2,1,2,10,9,12,2,6,2
2015-07-04_Chile_Argentina,10,19,11,6,2,2,10,15,6,6,3,1
2016-06-10_France_Romania,10,14,10,4,2,4,3,1,3,0,2,1
2016-06-11_Albania_Switzerland,0,0,0,0,0,0,10,9,13,3,1,6
2016-06-11_Wales_Slovakia,0,0,0,0,0,0,4,5,7,1,1,2
2016-06-11_England_Russia,10,9,11,3,4,3,10,13,10,4,3,3
2016-06-12_Poland_Northern Ireland,9,5,11,1,3,5,0,0,0,0,0,0
2016-06-12_Germany_Ukraine,10,25,9,8,1,1,8,7,11,3,1,4
2016-06-12_Turkey_Croatia,5,8,9,2,1,2,10,15,11,5,2,3
2016-06-12_Spain_Czech Republic,10,17,8,6,2,2,10,11,16,4,0,6
2016-06-13_Ireland_Sweden,3,1,9,0,0,3,10,11,13,3,2,5
2016-06-13_Belgium_Italy,5,6,3,4,0,1,10,11,13,3,4,3
2016-06-13_Austria_Hungary,3,1,3,0,1,2,0,0,0,0,0,0
2016-06-13_Portugal_Iceland,10,10,12,4,3,3,0,0,0,0,0,0
2016-06-14_Russia_Slovakia,10,13,11,3,4,3,5,6,9,1,1,3
2016-06-14_Romania_Switzerland,4,2,5,0,2,2,10,10,12,4,1,5
2016-06-15_France_Albania,10,15,9,5,2,3,1,0,1,0,0,1
2016-06-15_England_Wales,10,10,12,3,4,3,1,2,1,1,0,0
2016-06-15_Ukraine_Northern Ireland,9,7,13,3,1,5,1,0,1,0,0,1
