match_id,home_team_id,away_team_id,league_id,b365_home,b365_draw,b365_away,home_goals,away_goals
DEN_BUY_20210321,DEN,BUY,Turkey Super Lig 2020-21,3.25,3.3,2.15,0,0
BES_FEN_20210321,BES,FEN,Turkey Super Lig 2020-21,2.1,3.4,3.4,1,1
KAY_GOZ_20210403,KAY,GOZ,Turkey Super Lig 2020-21,2.55,3.3,2.7,1,1
RIZ_KAR_20210403,RIZ,KAR,Turkey Super Lig 2020-21,2.87,3.3,2.4,0,0
SIV_TRA_20210403,SIV,TRA,Turkey Super Lig 2020-21,2.7,2.9,2.8,0,0
HAT_GAL_20210403,HAT,GAL,Turkey Super Lig 2020-21,3.75,3.6,1.9,3,0
ERZ_KON_20210404,ERZ,KON,Turkey Super Lig 2020-21,2.4,3.2,3.0,1,2
ALA_GEN_20210404,ALA,GEN,Turkey Super Lig 2020-21,1.44,4.75,6.0,1,2
ANK_ANT_20210404,ANK,ANT,Turkey Super Lig 2020-21,2.37,3.1,3.0,1,0
BUY_YEN_20210404,BUY,YEN,Turkey Super Lig 2020-21,1.75,3.75,4.5,3,1
KAS_BES_20210404,KAS,BES,Turkey Super Lig 2020-21,4.6,4.0,1.66,1,0
FEN_DEN_20210405,FEN,DEN,Turkey Super Lig 2020-21,1.3,5.25,9.5,1,0
GOZ_RIZ_20210406,GOZ,RIZ,Turkey Super Lig 2020-21,2.25,3.4,3.1,2,0
KAR_HAT_20210406,KAR,HAT,Turkey Super Lig 2020-21,2.25,3.3,3.0,1,0
TRA_KAY_20210406,TRA,KAY,Turkey Super Lig 2020-21,1.65,3.75,5.25,1,1
GEN_ERZ_20210407,GEN,ERZ,Turkey Super Lig 2020-21,2.8,3.1,2.55,1,1
KON_ANK_20210407,KON,ANK,Turkey Super Lig 2020-21,2.05,3.1,4.0,1,1
ANT_SIV_20210407,ANT,SIV,Turkey Super Lig 2020-21,2.8,3.1,2.6,2,4
BES_ALA_20210407,BES,ALA,Turkey Super Lig 2020-21,1.75,3.75,4.33,3,0
DEN_KAS_20210408,DEN,KAS,Turkey Super Lig 2020-21,2.9,3.25,2.37,1,1
GAZ_BUY_20210408,GAZ,BUY,Turkey Super Lig 2020-21,2.75,3.4,2.45,2,0
YEN_FEN_20210408,YEN,FEN,Turkey Super Lig 2020-21,4.75,3.75,1.7,1,1
HAT_GOZ_20210410,HAT,GOZ,Turkey Super Lig 2020-21,1.95,3.6,3.6,2,3
RIZ_TRA_20210410,RIZ,TRA,Turkey Super Lig 2020-21,3.6,3.4,2.0,0,0
GAL_KAR_20210410,GAL,KAR,Turkey Super Lig 2020-21,1.5,4.2,6.0,1,1
SIV_KON_20210411,SIV,KON,Turkey Super Lig 2020-21,2.0,3.3,3.75,3,1
ANK_GEN_20210411,ANK,GEN,Turkey Super Lig 2020-21,2.0,3.3,3.8,2,1
KAY_ANT_20210411,KAY,ANT,Turkey Super Lig 2020-21,2.45,3.0,3.0,0,1
ERZ_BES_20210411,ERZ,BES,Turkey Super Lig 2020-21,5.0,3.75,1.66,2,4
KAS_YEN_20210412,KAS,YEN,Turkey Super Lig 2020-21,2.2,3.4,3.2,0,0
ALA_DEN_20210412,ALA,DEN,Turkey Super Lig 2020-21,1.45,4.5,6.5,3,2
FEN_GAZ_20210412,FEN,GAZ,Turkey Super Lig 2020-21,1.44,4.5,6.5,3,1
GEN_SIV_20210416,GEN,SIV,Turkey Super Lig 2020-21,3.8,3.6,1.9,2,3
KON_KAY_20210416,KON,KAY,Turkey Super Lig 2020-21,2.15,3.25,3.4,0,0
ANT_RIZ_20210416,ANT,RIZ,Turkey Super Lig 2020-21,2.5,3.1,2.9,2,3
BES_ANK_20210416,BES,ANK,Turkey Super Lig 2020-21,1.36,4.75,8.5,2,2
DEN_ERZ_20210417,DEN,ERZ,Turkey Super Lig 2020-21,2.62,3.1,2.75,2,3
TRA_HAT_20210417,TRA,HAT,Turkey Super Lig 2020-21,2.0,3.4,3.6,1,1
YEN_ALA_20210417,YEN,ALA,Turkey Super Lig 2020-21,3.2,3.5,2.15,1,0
GOZ_GAL_20210417,GOZ,GAL,Turkey Super Lig 2020-21,3.8,3.8,1.85,1,3
GAZ_KAS_20210418,GAZ,KAS,Turkey Super Lig 2020-21,2.25,3.2,3.2,2,2
BUY_FEN_20210418,BUY,FEN,Turkey Super Lig 2020-21,3.6,3.6,1.95,1,2
KAR_GOZ_20210420,KAR,GOZ,Turkey Super Lig 2020-21,2.75,3.4,2.45,1,1
KAY_GEN_20210420,KAY,GEN,Turkey Super Lig 2020-21,1.9,3.5,4.0,2,2
RIZ_KON_20210420,RIZ,KON,Turkey Super Lig 2020-21,2.45,3.0,3.1,5,3
HAT_ANT_20210420,HAT,ANT,Turkey Super Lig 2020-21,1.75,3.5,4.75,3,2
SIV_BES_20210420,SIV,BES,Turkey Super Lig 2020-21,3.75,3.4,1.95,0,0
ANK_DEN_20210421,ANK,DEN,Turkey Super Lig 2020-21,1.65,3.6,5.0,1,1
ERZ_YEN_20210421,ERZ,YEN,Turkey Super Lig 2020-21,2.37,3.25,3.0,1,0
GAL_TRA_20210421,GAL,TRA,Turkey Super Lig 2020-21,1.8,3.6,4.33,1,1
ALA_GAZ_20210422,ALA,GAZ,Turkey Super Lig 2020-21,1.65,3.8,5.0,3,2
KAS_BUY_20210422,KAS,BUY,Turkey Super Lig 2020-21,2.5,3.3,2.75,0,1
GEN_RIZ_20210423,GEN,RIZ,Turkey Super Lig 2020-21,2.62,3.4,2.37,2,1
KON_HAT_20210424,KON,HAT,Turkey Super Lig 2020-21,2.8,3.2,2.5,0,0
TRA_KAR_20210424,TRA,KAR,Turkey Super Lig 2020-21,1.72,3.6,4.75,2,0
ANT_GAL_20210424,ANT,GAL,Turkey Super Lig 2020-21,5.5,3.8,1.61,0,1
BES_KAY_20210424,BES,KAY,Turkey Super Lig 2020-21,1.36,5.0,7.5,3,1
DEN_SIV_20210424,DEN,SIV,Turkey Super Lig 2020-21,4.0,3.4,1.9,1,1
YEN_ANK_20210425,YEN,ANK,Turkey Super Lig 2020-21,2.15,3.3,3.25,2,1
BUY_ALA_20210425,BUY,ALA,Turkey Super Lig 2020-21,2.45,3.3,2.8,0,0
GAZ_ERZ_20210425,GAZ,ERZ,Turkey Super Lig 2020-21,2.0,3.5,3.6,2,3
FEN_KAS_20210425,FEN,KAS,Turkey Super Lig 2020-21,1.4,4.5,7.0,3,2
HAT_GEN_20210427,HAT,GEN,Turkey Super Lig 2020-21,1.65,4.0,4.5,3,1
GOZ_TRA_20210428,GOZ,TRA,Turkey Super Lig 2020-21,3.1,3.4,2.1,1,1
KAR_ANT_20210428,KAR,ANT,Turkey Super Lig 2020-21,2.0,3.4,3.6,2,2
KAY_DEN_20210428,KAY,DEN,Turkey Super Lig 2020-21,1.6,3.6,4.75,6,3
GAL_KON_20210428,GAL,KON,Turkey Super Lig 2020-21,1.45,3.8,6.5,1,0
RIZ_BES_20210428,RIZ,BES,Turkey Super Lig 2020-21,4.33,3.75,1.7,2,3
ERZ_BUY_20210429,ERZ,BUY,Turkey Super Lig 2020-21,3.3,3.2,2.1,1,2
SIV_YEN_20210429,SIV,YEN,Turkey Super Lig 2020-21,1.83,3.5,3.8,1,0
ALA_FEN_20210429,ALA,FEN,Turkey Super Lig 2020-21,2.87,3.3,2.25,0,0
ANK_GAZ_20210429,ANK,GAZ,Turkey Super Lig 2020-21,2.1,3.4,3.3,0,1
BES_HAT_20210501,BES,HAT,Turkey Super Lig 2020-21,1.57,4.0,5.5,7,0
ANT_GOZ_20210502,ANT,GOZ,Turkey Super Lig 2020-21,2.7,3.4,2.5,2,3
DEN_RIZ_20210502,DEN,RIZ,Turkey Super Lig 2020-21,2.9,3.25,2.4,0,1
KON_KAR_20210502,KON,KAR,Turkey Super Lig 2020-21,2.3,3.25,3.1,5,1
GEN_GAL_20210502,GEN,GAL,Turkey Super Lig 2020-21,5.75,4.33,1.5,0,2
BUY_ANK_20210503,BUY,ANK,Turkey Super Lig 2020-21,1.72,3.75,4.5,2,1
KAS_ALA_20210503,KAS,ALA,Turkey Super Lig 2020-21,3.2,3.4,2.2,3,0
YEN_KAY_20210503,YEN,KAY,Turkey Super Lig 2020-21,2.25,3.5,3.0,1,1
FEN_ERZ_20210503,FEN,ERZ,Turkey Super Lig 2020-21,1.45,4.5,6.5,3,1
GAZ_SIV_20210503,GAZ,SIV,Turkey Super Lig 2020-21,2.87,3.4,2.37,0,1
ANK_FEN_20210508,ANK,FEN,Turkey Super Lig 2020-21,5.0,4.0,1.55,1,2
ERZ_KAS_20210508,ERZ,KAS,Turkey Super Lig 2020-21,2.75,3.3,2.5,0,1
GAL_BES_20210508,GAL,BES,Turkey Super Lig 2020-21,2.37,3.2,3.0,3,1
GOZ_KON_20210508,GOZ,KON,Turkey Super Lig 2020-21,2.25,3.6,2.87,0,1
HAT_DEN_20210508,HAT,DEN,Turkey Super Lig 2020-21,1.44,4.33,6.5,1,0
KAR_GEN_20210508,KAR,GEN,Turkey Super Lig 2020-21,2.1,3.6,3.25,5,1
KAY_GAZ_20210508,KAY,GAZ,Turkey Super Lig 2020-21,2.1,3.5,3.3,0,0
RIZ_YEN_20210508,RIZ,YEN,Turkey Super Lig 2020-21,2.45,3.3,2.8,0,4
SIV_BUY_20210508,SIV,BUY,Turkey Super Lig 2020-21,2.37,3.25,3.0,0,0
TRA_ANT_20210508,TRA,ANT,Turkey Super Lig 2020-21,1.66,3.6,5.25,2,1
KON_TRA_20210511,KON,TRA,Turkey Super Lig 2020-21,3.25,3.25,2.2,1,1
ALA_ERZ_20210511,ALA,ERZ,Turkey Super Lig 2020-21,1.53,4.1,6.0,2,3
BES_KAR_20210511,BES,KAR,Turkey Super Lig 2020-21,1.22,6.5,11.0,1,2
BUY_KAY_20210511,BUY,KAY,Turkey Super Lig 2020-21,2.15,3.25,3.4,0,0
DEN_GAL_20210511,DEN,GAL,Turkey Super Lig 2020-21,13.0,6.5,1.18,1,4
FEN_SIV_20210511,FEN,SIV,Turkey Super Lig 2020-21,1.5,4.33,5.75,1,2
GAZ_RIZ_20210511,GAZ,RIZ,Turkey Super Lig 2020-21,1.95,3.6,3.6,4,5
GEN_GOZ_20210511,GEN,GOZ,Turkey Super Lig 2020-21,2.75,3.6,2.37,5,3
KAS_ANK_20210511,KAS,ANK,Turkey Super Lig 2020-21,2.2,3.6,3.0,3,1
YEN_HAT_20210511,YEN,HAT,Turkey Super Lig 2020-21,2.62,3.4,2.55,1,1
ANK_ALA_20210515,ANK,ALA,Turkey Super Lig 2020-21,3.0,3.5,2.2,0,1
ANT_KON_20210515,ANT,KON,Turkey Super Lig 2020-21,3.0,3.6,2.1,0,0
HAT_GAZ_20210515,HAT,GAZ,Turkey Super Lig 2020-21,1.5,4.0,6.5,0,1
KAR_DEN_20210515,KAR,DEN,Turkey Super Lig 2020-21,1.4,4.75,7.0,5,1
RIZ_BUY_20210515,RIZ,BUY,Turkey Super Lig 2020-21,3.3,3.25,2.2,0,2
SIV_KAS_20210515,SIV,KAS,Turkey Super Lig 2020-21,1.57,3.8,5.0,2,1
GAL_YEN_20210515,GAL,YEN,Turkey Super Lig 2020-21,1.07,9.0,17.0,3,1
GOZ_BES_20210515,GOZ,BES,Turkey Super Lig 2020-21,9.0,5.25,1.3,1,2
KAY_FEN_20210515,KAY,FEN,Turkey Super Lig 2020-21,5.25,4.0,1.57,1,2
TRA_GEN_20210515,TRA,GEN,Turkey Super Lig 2020-21,1.9,4.0,3.25,2,1
ARI_LAM_20200911,ARI,LAM,Greece Super League 2020-21,1.5,4.0,7.0,3,1
PAO_LAR_20200911,PAO,LAR,Greece Super League 2020-21,1.2,6.0,15.0,1,0
OFI_PAN_20200912,OFI,PAN,Greece Super League 2020-21,1.72,3.4,4.5,1,1
ATR_VOL_20200913,ATR,VOL,Greece Super League 2020-21,1.61,3.6,5.0,0,2
