"Dataset","SourceMatchID","Status","Reasons"
"international_matches","2024-07-01_Portugal_Slovenia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-02_Romania_Netherlands","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-02_Austria_Turkey","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-05_Spain_Germany","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-05_Portugal_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-06_England_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-06_Netherlands_Turkey","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-10_Netherlands_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-21_Peru_Chile","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-21_Ecuador_Venezuela","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-22_Mexico_Jamaica","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-22_United States_Bolivia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-22_Uruguay_Panama","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-23_Colombia_Paraguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-24_Brazil_Costa Rica","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-25_Peru_Canada","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-25_Chile_Argentina","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-26_Ecuador_Jamaica","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-26_Venezuela_Mexico","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-27_Panama_United States","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-27_Uruguay_Bolivia","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2024-06-28_Colombia_Costa Rica","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-28_Paraguay_Brazil","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2024-06-29_Canada_Chile","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-30_Mexico_Ecuador","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-30_Jamaica_Venezuela","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-01_Bolivia_Panama","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-01_United States_Uruguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-02_Brazil_Colombia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-02_Costa Rica_Paraguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-05_Venezuela_Canada","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-06_Colombia_Panama","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2024-07-06_Uruguay_Brazil","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-10_Colombia_Uruguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-07-13_Canada_Uruguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-11_Turkey_Italy","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-12_Wales_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-12_Denmark_Finland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-12_Belgium_Russia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-13_England_Croatia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-13_Austria_North Macedonia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-13_Netherlands_Ukraine","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-14_Scotland_Czech Republic","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-14_Poland_Slovakia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-14_Spain_Sweden","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-15_Hungary_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-15_France_Germany","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-16_Finland_Russia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-16_Turkey_Wales","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-16_Italy_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-17_Ukraine_North Macedonia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-17_Denmark_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-17_Netherlands_Austria","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-18_Sweden_Slovakia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-18_Croatia_Czech Republic","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-18_England_Scotland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-19_Hungary_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-19_Portugal_Germany","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-20_Spain_Poland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-20_Italy_Wales","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-20_Switzerland_Turkey","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-21_Ukraine_Austria","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-21_North Macedonia_Netherlands","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-21_Finland_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-21_Russia_Denmark","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-22_Czech Republic_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-22_Croatia_Scotland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Slovakia_Spain","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Sweden_Poland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Germany_Hungary","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-23_Portugal_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-26_Wales_Denmark","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-06-26_Italy_Austria","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-27_Netherlands_Czech Republic","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-27_Belgium_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-28_Croatia_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-28_France_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-29_England_Germany","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-06-29_Sweden_Ukraine","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-07-02_Switzerland_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-07-02_Belgium_Italy","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-07-03_Czech Republic_Denmark","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-07-03_Ukraine_England","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2021-07-06_Italy_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-07-07_England_Denmark","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2021-07-11_Italy_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-14_Russia_Saudi Arabia","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2018-06-15_Egypt_Uruguay","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-15_Morocco_Iran","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-15_Portugal_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-16_France_Australia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-16_Argentina_Iceland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-16_Peru_Denmark","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-16_Croatia_Nigeria","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-17_Costa Rica_Serbia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-17_Germany_Mexico","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-17_Brazil_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-17_Sweden_Korea Republic","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-18_Belgium_Panama","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-18_Tunisia_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-18_Colombia_Japan","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-18_Poland_Senegal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-19_Russia_Egypt","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-19_Portugal_Morocco","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-19_Uruguay_Saudi Arabia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-19_Iran_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-20_Denmark_Australia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-20_France_Peru","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-20_Argentina_Croatia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-21_Brazil_Costa Rica","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-21_Nigeria_Iceland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-21_Serbia_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-21_Korea Republic_Mexico","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-22_Germany_Sweden","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-22_Belgium_Tunisia","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2018-06-22_England_Panama","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2018-06-23_Japan_Senegal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-23_Poland_Colombia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-23_Uruguay_Russia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-25_Saudi Arabia_Egypt","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-25_Spain_Morocco","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-25_Iran_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-25_Australia_Peru","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-25_Denmark_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2018-06-26_Nigeria_Argentina","QUARANTINED","UNVERIFIABLE_SOURCE"
